datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,SpecHumidity.kg_kg,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2023-06-25 12:00:00,18.3999878,141.4640045,383.4899902,0.011949,85.2906055013528,6.37536655586799,113.347194672,95096.79688
2023-06-25 13:00:00,19.1799866,225.904007,383.480011,0.0123485,83.9810294523011,6.15371422326062,0.2496,95174.1875
2023-06-25 14:00:00,19.9700256,316.0859985,383.480011,0.012748,82.575417922699,6.02217571393097,0.595200024,95251.25781
2023-06-25 15:00:00,20.7499939,324.4819946,386.2600098,0.0131477,81.1877435930153,5.98239085277784,0.1056,95327.9375
2023-06-25 16:00:00,20.7900024,383.8649902,386.2600098,0.0129456,79.6923469353517,5.43802364545062,5.087999928,95269.9375
2023-06-25 17:00:00,20.8200012,420.3089905,386.2600098,0.0127439,78.2560414234087,5.01845573749735,13.497599592,95211.29688
2023-06-25 18:00:00,20.8500305,445.5660095,383.1300049,0.0125418,76.8236996196322,4.74510270080216,1.747200072,95152.5625
2023-06-25 19:00:00,20.9500061,420.9609985,383.1300049,0.0124898,76.0173195193698,4.96834988023388,0.518400024,95134.84375
2023-06-25 20:00:00,21.0599915,396.2879944,383.1199951,0.0124374,75.169224057714,5.3501870661333,4.28159988,95117.02344
2023-06-25 21:00:00,21.1599976,345.3649902,383.519989,0.0123854,74.3780614383149,5.86003389481324,0.4416,95099.20313
2023-06-25 22:00:00,20.5500122,271.3529968,383.5299988,0.0124672,77.7742401048562,5.30252762086913,38.073600768,95114.92188
2023-06-25 23:00:00,19.9399963,194.4600067,383.5299988,0.0125489,81.3341250383345,4.79154471550042,11.7888,95129.89844
2023-06-26 00:00:00,19.330011,74.03199768,377.0499878,0.0126303,85.065758320885,4.34626278737492,3.110400072,95145.52344
2023-06-26 01:00:00,17.4200378,30.71199989,377.0700073,0.0116788,88.7925926212759,3.75623477854886,5.606400144,95185.27344
2023-06-26 02:00:00,15.5200134,0,377.0799866,0.0107261,92.1525233470443,3.56628654801602,14.764799592,95224.79688
2023-06-26 03:00:00,13.6100098,0,365.4500122,0.0097735,95.1111149357379,3.84629683449939,0.403199976,95264.78125
2023-06-26 04:00:00,14.1700378,0,365.4500122,0.0101702,95.4315664123177,4.11885919975665,0,95280.96875
2023-06-26 05:00:00,14.7199951,0,365.4400024,0.0105669,95.6844646355817,4.44544721973392,0,95297.14063
2023-06-26 06:00:00,15.2800537,0,356.0899963,0.0109636,95.7542614065758,4.82215704833843,0,95313.42188
2023-06-26 07:00:00,15.119989,0,356.0899963,0.010904,96.2009488814547,5.01134732360071,0,95289.38281
2023-06-26 08:00:00,14.9599854000001,0,356.1000061,0.0108444,96.6469760055851,5.21146794030243,0,95264.70313
2023-06-26 09:00:00,14.8000122,0,355.019989,0.0107851,97.0964803789552,5.41838529345967,0,95240.65625
2023-06-26 10:00:00,15.1100403,0,355.019989,0.0107558,94.9611003952988,5.70292018272394,0,95295.88281
2023-06-26 11:00:00,15.4099976,43.59199905,355.019989,0.0107268,92.93937841378,5.99688260959809,0,95351.20313
